date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:17	6929/6929	---M--	200	added ('OK')	text/html	date:Sun,%2014%20Feb%202021%2007:53:16%20GMT	https://seilias.gr/go-lab/html5/torricelli.plain.html	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/torricelli.plain.html	(from )
17:05:17	316/316	---M--	200	added ('OK')	text/plain	date:Tue,%2004%20Jun%202013%2022:10:42%20GMT	https://seilias.gr/robots.txt		(from )
17:05:18	1075/1075	---M--	200	added ('OK')	application/xml	date:Sun,%2014%20Feb%202021%2007:55:48%20GMT	https://seilias.gr/go-lab/html5/languages/torricelli_en_ALL.xml	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/languages/torricelli_en_ALL.xml	(from https://seilias.gr/go-lab/html5/torricelli.plain.html)
17:05:18	1551/1551	---M--	200	added ('OK')	application/xml	date:Sun,%2014%20Feb%202021%2007:55:48%20GMT	https://seilias.gr/go-lab/html5/languages/torricelli_el_ALL.xml	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/languages/torricelli_el_ALL.xml	(from https://seilias.gr/go-lab/html5/torricelli.plain.html)
17:05:19	85578/85578	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Dec%202020%2018:40:16%20GMT	https://seilias.gr/go-lab/html5/files/jquery/external/jquery/jquery.js	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/files/jquery/external/jquery/jquery.js	(from https://seilias.gr/go-lab/html5/torricelli.plain.html)
17:05:20	35997/35997	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Dec%202020%2018:40:18%20GMT	https://seilias.gr/go-lab/html5/files/jquery/jquery-ui.css	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/files/jquery/jquery-ui.css	(from https://seilias.gr/go-lab/html5/torricelli.plain.html)
17:05:21	1866/1866	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Dec%202020%2018:40:19%20GMT	https://seilias.gr/go-lab/html5/files/jquery/jquery.ui.touch-punch.min.js	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/files/jquery/jquery.ui.touch-punch.min.js	(from https://seilias.gr/go-lab/html5/torricelli.plain.html)
17:05:22	113680/113680	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Dec%202020%2018:40:18%20GMT	https://seilias.gr/go-lab/html5/files/jquery/jquery-ui-1.12.icon-font.min.css	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/files/jquery/jquery-ui-1.12.icon-font.min.css	(from https://seilias.gr/go-lab/html5/torricelli.plain.html)
17:05:22	520714/520714	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Dec%202020%2018:40:19%20GMT	https://seilias.gr/go-lab/html5/files/jquery/jquery-ui.js	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/files/jquery/jquery-ui.js	(from https://seilias.gr/go-lab/html5/torricelli.plain.html)
17:05:23	1143/1143	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Dec%202020%2018:40:05%20GMT	https://seilias.gr/go-lab/html5/files/css/main.css	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/files/css/main.css	(from https://seilias.gr/go-lab/html5/torricelli.plain.html)
17:05:23	1370/1370	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Dec%202020%2018:40:05%20GMT	https://seilias.gr/go-lab/html5/files/css/buttons.css	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/files/css/buttons.css	(from https://seilias.gr/go-lab/html5/torricelli.plain.html)
17:05:23	289029/289029	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Dec%202020%2018:40:04%20GMT	https://seilias.gr/go-lab/html5/files/createjs/createjs-2015.11.26.min.js	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/files/createjs/createjs-2015.11.26.min.js	(from https://seilias.gr/go-lab/html5/torricelli.plain.html)
17:05:23	7627/7627	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Dec%202020%2018:40:20%20GMT	https://seilias.gr/go-lab/html5/files/scripts/cT.min.js	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/files/scripts/cT.min.js	(from https://seilias.gr/go-lab/html5/torricelli.plain.html)
17:05:24	203/203	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Dec%202020%2018:39:48%20GMT	https://seilias.gr/go-lab/html5/myScript.js	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/myScript.js	(from https://seilias.gr/go-lab/html5/torricelli.plain.html)
17:05:24	3886/3886	---M--	200	added ('OK')	application/javascript	date:Sun,%2027%20Dec%202020%2018:40:20%20GMT	https://seilias.gr/go-lab/html5/files/scripts/ui.js	C:/My%20Web%20Sites/sdsdkm/seilias.gr/go-lab/html5/files/scripts/ui.js	(from https://seilias.gr/go-lab/html5/torricelli.plain.html)
